ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100144,2009,1,8.533318876,89,0,1,3.195622944,1,1,22.114364,60.560904
100144,2013,1,6.133528179,92,1,1,4.717820234,0,1,0.01984193,0.079247266
100144,2015,1,5.711446573,95,0,1,3.733438027,1,1,0.031603998,0.10515673
100145,2007,1,5.844682004,17,1,1,3.702688968,0,1,0,-0.68797925
100145,2009,1,9.302649081,16,1,1,3.816837631,1,1,10.175552,72.01804
100145,2013,1,6.097521521,23,1,1,3.853150436,0,1,0.014281449,0.071418039
100145,2015,1,6.156333495,25,1,1,4.925028315,0,1,0.030695354,0.10316338
100145,2017,1,5.986566739,27,1,1,0,1,1,0.017956098,0.075524883
100146,2007,1,5.444832264,29,1,1,2.874481818,1,1,0,0.006614569
100146,2009,1,8.242371098,16,0,1,2.777426822,1,0,0,-17.58928
100147,2007,1,4.339249333,14,0,1,2.802773725,0,0,0,-0.01542364
100148,2007,1,5.58671358,45,1,1,2.995196292,1,1,0.013856035,0.07124918
100148,2009,1,8.826359006,47,1,1,3.125481266,0,1,4.2122235,42.007036
100148,2013,1,6.198111843,51,1,1,4.432343841,0,1,0.010576795,0.026410191
100148,2015,1,5.957925709,53,1,0,4.063821056,1,1,0.008517601,0.026928254
100148,2017,1,6.096003581,24,1,0,4.314014771,1,1,0.01781417,0.037150938
100149,2007,1,6.033132278,73,1,1,3.725911632,1,1,0.017669828,0.086089078
100149,2009,1,9.106569957,16,1,1,3.626443025,1,1,0,149.146976
100149,2013,1,6.201443037,79,1,1,4.992893575,0,1,0.030003127,0.13996353
100149,2015,1,6.206973835,30,1,1,4.953788676,1,1,0.035666316,0.14690711
100149,2017,1,6.254908583,83,1,1,4.961012713,1,1,0.040362484,0.13966627
100150,2007,1,6.354071984,14,1,1,2.618048097,0,1,0.003679968,0.017303607
100150,2009,1,9.285300224,89,1,1,2.394451681,0,0,0.65256113,8.470049
100150,2013,1,6.515476243,20,0,1,3.860996437,1,1,0.00353605,0.033663
100150,2015,1,6.454814733,96,0,1,3.836956737,0,1,0.001106828,0.033746828
100150,2017,1,6.769239187,6,0,1,3.880127322,0,1,0.024411135,0.014261251
100151,2007,1,5.891441802,25,0,0,3.066325925,0,1,0,0.048785113
100151,2009,1,8.964130234,16,0,0,3.030194785,0,1,-4.890646,-13.336937
100151,2013,1,6.007198633,31,0,0,3.443262987,0,1,0.00373419,0.028184994
100151,2015,1,6.113092505,33,0,0,4.174641193,0,1,0.017371248,0.071715922
100151,2017,1,6.049864136,24,0,0,4.177392192,0,1,0.024467686,0.073186469
100152,2007,1,5.670869008,14,1,0,3.137986733,1,1,0.003329849,0.075400633
100152,2009,1,8.723154948,88,1,1,3.215637563,1,1,11.322963,92.596096
100152,2013,1,5.720473999,92,1,1,4.441757959,0,1,0.001744364,0.061848066
100152,2015,1,5.791545834,94,1,1,4.407985421,1,1,0.004017471,0.084989484
100153,2007,1,5.422059516,52,0,0,2.580924976,1,1,0.001229626,0.011039295
100153,2009,1,8.366574131,54,0,1,2.426511261,0,1,2.2946115,16.097486
100153,2013,1,5.645755114,20,0,1,4.47833558,0,1,2.80E-06,0.010051875
100153,2015,1,5.376024504,22,0,1,3.738225448,0,1,0.005081551,0.019862918
100153,2017,1,5.283728414,18,0,1,3.716754357,0,1,0.005983939,0.026208471
100154,2007,1,5.57013374,14,0,1,3.190051418,1,1,6.20E-06,-0.015433863
100154,2009,1,8.483793634,16,0,1,3.632558515,1,0,23.352706,-202.929568
100154,2013,1,5.672493422,30,0,1,4.346724509,0,1,9.67E-06,0.025576371
100154,2015,1,5.59249573,32,0,1,4.412443747,0,1,4.82E-06,0.025587529
100154,2017,1,6.042593427,34,0,1,4.384496781,0,1,0.010822743,-0.021403275
100155,2007,1,4.384105062,14,0,0,2.267171728,0,0,8.88E-05,0.006633021
100156,2007,1,5.044186772,33,1,0,2.940018155,1,1,0.002786929,0.011656225
100156,2009,1,8.188134123,35,0,0,2.859138297,1,1,1.9281053,10.152097
100156,2013,1,5.539947654,20,1,0,3.844911874,0,1,0.000671271,0.004462129
100156,2015,1,5.128534351,41,1,0,4.153875814,0,1,0,0.005096214
100156,2017,1,5.190004201,43,1,0,4.260762845,0,1,0,-0.033425113
100157,2007,1,5.370390519,14,1,0,2.424881637,1,1,0.005513461,0.033241441
100157,2009,1,8.275255948,101,0,0,2.285557309,0,1,0.25365186,-22.66724
100158,2007,1,5.52367198,52,0,0,0,1,0,0.001887867,0.008350425
100158,2009,1,8.660666318,16,0,0,3.758078822,0,1,15.575816,39.708964
100158,2013,1,6.399031235,20,0,0,5.51300573,0,0,0.00144173,-0.44573088
100158,2015,1,6.479093,35,0,0,4.684656887,0,0,0,0.04089523
100158,2017,1,6.453988807,37,0,0,5.486399305,0,0,0.024753586,0.10934101
100162,2007,1,5.335563102,24,0,1,3.563243701,1,1,0.001767875,0.004962263
100163,2007,1,4.41391209,17,0,1,1.397940009,0,1,0.000393998,0.001557918
100163,2013,1,4.376498284,20,0,1,2.909020854,1,1,0.000600131,0.002336879
100166,2007,1,3.751995445,41,0,1,1.838849091,0,0,0,0.000568783
100167,2007,1,4.04717604,26,0,0,1,0,1,0.000156984,0.001788351
100167,2015,1,4.26963418,34,0,0,2.428134794,0,0,0.000803968,0.003623483
100168,2009,1,7.20115653,13,1,0,2.152288344,0,0,0.17053527,1.0964919
100168,2013,1,4.364703094,18,1,0,3.369401414,0,0,0.001676838,0.007498664
100168,2015,1,4.358430079,19,0,0,3.505828034,0,0,0.001821437,0.004040848
100168,2017,1,4.322879313,21,1,0,3.286905353,0,1,0.001085415,0.003460816
100170,2013,1,3.731122853,20,0,0,3.403463701,0,1,0.000110742,0.000193518
100170,2015,1,3.866712686,7,0,0,2.915927212,0,0,7.77E-05,0.000821334
100171,2013,1,5.507516787,19,0,1,3.499549626,0,1,0.001638445,0.00415386
100174,2007,1,5.098922035,61,0,1,2.818885415,1,0,0.002171691,0.013660137
100174,2009,1,8.102820711,60,0,1,3.182699903,0,1,2.0775773,16.224991
100174,2013,1,5.13197987,64,0,0,3.888235673,0,1,0.002974847,0.018985785
