sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
1,106,1.8099999,0,1,1,1,1,1,1,1,5,1,1,2,1,1,1,3,0,13,13,1
1,102,2.5799999,0,1,2,3,1,2,3,4,5,2,1,3,3,2,2,3,1,5,20,1
1,102,.050000001,0,1,1,1,2,1,1,1,4,2,2,1,2,2,2,3,1,13,9,-1
1,103,1.71,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,1,13,13,1
1,102,3.54,1,1,3,3,3,3,2,3,2,4,4,4,3,4,3,1,0,7,7,-1
1,103,3.1300001,0,0,1,1,2,1,1,2,3,1,3,3,1,1,1,1,1,10,10,-1
0,102,1.4299999,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,3,1,7,9,0
0,103,1.6900001,1,1,1,2,1,1,2,3,1,2,3,3,3,3,2,3,1,17,19,1
1,102,1.03,1,0,3,4,4,2,1,1,3,3,4,4,3,2,3,3,1,,12,-1
0,102,-.41999999,0,1,1,3,4,3,2,2,3,2,2,2,2,2,1,1,1,3,7,1
1,101,.40000001,1,1,3,3,5,4,2,2,2,3,2,4,4,2,4,2,1,13,13,1
1,104,.36000001,0,1,1,1,1,1,2,3,4,3,1,1,3,1,3,3,1,9,9,-1
1,102,2.3800001,0,1,4,3,2,1,1,1,5,5,1,1,1,1,1,5,1,11,10,1
1,102,-1.12,1,1,2,2,1,2,1,2,3,1,2,3,1,2,3,3,1,13,12,-1
1,103,4.1599998,1,1,1,2,2,2,3,3,4,3,3,2,3,3,3,1,1,12,10,1
1,104,-.66000003,0,0,3,1,1,3,1,1,3,2,1,3,2,3,4,2,1,13,13,1
1,102,.99000001,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,13,13,-1
1,102,-1.14,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,4,9,-1
0,102,-3.8,0,1,1,2,2,2,2,1,3,2,3,3,3,3,2,1,1,9,12,0
1,101,2.8699999,1,1,1,1,1,1,1,2,4,1,1,3,1,1,1,3,1,7,13,-1
1,103,.68000001,1,0,1,1,1,1,1,1,5,1,1,3,1,1,1,2,1,,14,-1
1,107,4.2600002,1,1,1,1,1,1,2,3,1,2,5,1,1,1,1,5,1,13,15,-1
0,103,.93000001,1,1,1,1,1,1,1,1,3,2,1,2,1,2,1,5,1,4,9,-1
1,102,2.52,1,1,1,3,2,3,3,4,1,3,2,3,3,3,4,1,1,13,13,-1
1,101,1.53,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,16,18,-1
1,107,2.4400001,1,1,4,1,2,1,1,1,5,1,2,2,1,3,1,3,1,12,3,0
1,103,2.3099999,0,1,1,1,1,1,1,1,3,1,1,3,1,1,3,2,1,6,7,1
1,103,.52999997,1,1,1,2,1,1,2,3,4,2,1,3,2,1,4,3,1,13,13,1
1,102,.70999998,1,0,1,1,1,1,1,3,3,1,1,3,1,1,1,4,1,,9,-1
1,102,.14,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,2,0,13,13,-1
1,102,.11,1,1,2,3,2,4,2,2,3,2,4,4,3,3,4,1,1,5,11,-1
1,101,2.27,1,1,1,2,2,1,3,2,4,3,2,4,2,2,2,3,0,10,11,-1
1,101,2.8399999,1,1,1,1,1,1,1,1,3,2,3,4,1,3,2,3,1,3,3,-1
0,103,1.76,1,1,1,1,1,1,3,3,2,3,2,4,4,3,2,1,1,14,14,-1
0,102,1.52,0,1,1,1,1,1,3,4,4,4,3,3,2,2,1,1,1,12,12,1
0,106,.79000002,0,0,1,1,3,1,1,1,1,1,1,5,3,1,1,3,1,5,13,-1
1,102,1.5599999,1,1,3,4,2,4,1,3,4,2,2,3,2,3,3,2,0,7,9,1
0,103,2.4300001,1,1,1,1,3,2,1,1,2,1,4,1,4,1,1,1,1,12,12,-1
1,101,1.72,1,1,2,3,1,1,1,2,5,2,1,3,1,1,3,2,1,13,13,1
0,101,-1.16,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,13,13,0
1,101,1.05,1,1,1,1,2,2,2,2,1,2,2,3,2,2,5,3,0,5,13,-1
1,102,1.1799999,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,8,11,1
0,103,1.5599999,1,1,1,1,1,1,1,1,3,1,1,3,1,5,3,1,1,6,6,-1
1,100,-1.65,1,1,1,2,1,1,1,1,3,2,5,4,1,1,2,2,1,15,20,-1
0,101,-.72000003,1,1,1,2,1,1,2,3,1,2,1,2,1,1,1,3,1,13,13,-1
1,103,3.28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,9,1
0,105,2.01,1,1,1,1,1,3,1,1,1,1,3,3,2,4,3,5,0,3,7,-1
0,101,-.30000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,14,13,0
